GCA_900637755.1_52579_F01_genomic.fna	GCA_900637755.1
GCA_003204135.1_ASM320413v1_genomic.fna	GCA_003204135.1
GCA_000173415.1_ASM17341v1_genomic.fna	GCA_000173415.1
GCA_000314875.2_ASM31487v2_genomic.fna	GCA_000314875.2
GCA_000517745.1_PalPAL3v1.0_genomic.fna	GCA_000517745.1
GCA_000517805.1_PalF902004v1.0_genomic.fna	GCA_000517805.1
GCA_000527255.1_PalPAL2v1.0_genomic.fna	GCA_000527255.1
GCA_000527275.1_PalPAL1v1.0_genomic.fna	GCA_000527275.1
GCA_000527295.1_PalRIMD1656011v1.0_genomic.fna	GCA_000527295.1
GCA_000527315.1_PalR901475v1.0_genomic.fna	GCA_000527315.1
GCA_000527335.1_Pal20592v1.0_genomic.fna	GCA_000527335.1
GCA_002393505.1_ASM239350v1_genomic.fna	GCA_002393505.1
GCA_003057415.1_ASM305741v1_genomic.fna	GCA_003057415.1
GCA_004343335.1_ASM434333v1_genomic.fna	GCA_004343335.1
GCA_009706295.1_ASM970629v1_genomic.fna	GCA_009706295.1
GCA_009706305.1_ASM970630v1_genomic.fna	GCA_009706305.1
GCA_009706365.1_ASM970636v1_genomic.fna	GCA_009706365.1
GCA_009706385.1_ASM970638v1_genomic.fna	GCA_009706385.1
GCA_009706395.1_ASM970639v1_genomic.fna	GCA_009706395.1
GCA_009706465.1_ASM970646v1_genomic.fna	GCA_009706465.1
GCA_009706485.1_ASM970648v1_genomic.fna	GCA_009706485.1
GCA_009706545.1_ASM970654v1_genomic.fna	GCA_009706545.1
GCA_009706685.1_ASM970668v1_genomic.fna	GCA_009706685.1
GCA_009706725.1_ASM970672v1_genomic.fna	GCA_009706725.1
GCA_013415225.1_ASM1341522v1_genomic.fna	GCA_013415225.1
GCA_013702185.1_ASM1370218v1_genomic.fna	GCA_013702185.1
GCA_015234555.1_ASM1523455v1_genomic.fna	GCA_015234555.1
GCA_015739385.1_ASM1573938v1_genomic.fna	GCA_015739385.1
GCA_020271745.1_ASM2027174v1_genomic.fna	GCA_020271745.1
GCA_025961275.1_ASM2596127v1_genomic.fna	GCA_025961275.1
GCA_029962585.1_ASM2996258v1_genomic.fna	GCA_029962585.1
GCA_031277575.1_ASM3127757v1_genomic.fna	GCA_031277575.1
GCA_031286665.1_ASM3128666v1_genomic.fna	GCA_031286665.1
GCA_031340635.2_PDT001705878.4_genomic.fna	GCA_031340635.2
GCA_034093295.1_ASM3409329v1_genomic.fna	GCA_034093295.1
GCA_034721185.1_ASM3472118v1_genomic.fna	GCA_034721185.1
GCA_034838415.1_PDT002043445.1_genomic.fna	GCA_034838415.1
GCA_900455135.1_52363_F02_genomic.fna	GCA_900455135.1
GCA_900478095.1_31289_D01_genomic.fna	GCA_900478095.1
GCA_902375275.1_MGYG-HGUT-01466_genomic.fna	GCA_902375275.1
GCA_902375285.1_MGYG-HGUT-01465_genomic.fna	GCA_902375285.1
GCA_915401705.1_2019-04-27799-1-2_genomic.fna	GCA_915401705.1
GCA_915401715.1_2019-04-29034-1-3_genomic.fna	GCA_915401715.1
GCA_915401735.1_2019-04-28369-1-2_genomic.fna	GCA_915401735.1
GCA_915401745.1_2019-01-3283-1-1_genomic.fna	GCA_915401745.1
GCA_915401765.1_2019-04-28370-1-5_genomic.fna	GCA_915401765.1
GCA_915402005.1_2019-04-29290-1-7_genomic.fna	GCA_915402005.1
GCA_915402015.1_2019-04-29292-1-3_genomic.fna	GCA_915402015.1
GCA_915403165.1_2019-04-29291-1-1_genomic.fna	GCA_915403165.1
GCA_945270975.1_SRR11267065_bin.12_metawrap_v1.3.0_MAG_genomic.fna	GCA_945270975.1
GCA_958348825.1_ERR10960863_bin.5_MetaWRAP_v1.3_MAG_genomic.fna	GCA_958348825.1
